1170.812309, 5.524160, 933.378304, 231.909845: ns per cell total, react, vel_step, dens_step
1180.263256, 5.459750, 940.630485, 234.173021: ns per cell total, react, vel_step, dens_step
1171.276549, 5.487005, 933.806961, 231.982583: ns per cell total, react, vel_step, dens_step
1177.770369, 5.435459, 936.425990, 235.908919: ns per cell total, react, vel_step, dens_step
1175.804597, 5.421049, 935.659656, 234.723892: ns per cell total, react, vel_step, dens_step
1179.446271, 5.446970, 937.003422, 236.995879: ns per cell total, react, vel_step, dens_step
1184.883227, 5.409624, 946.288656, 233.184947: ns per cell total, react, vel_step, dens_step
1171.494979, 5.377553, 933.732612, 232.384814: ns per cell total, react, vel_step, dens_step
1173.062849, 5.363162, 934.687622, 233.012065: ns per cell total, react, vel_step, dens_step
1175.641023, 5.345996, 937.061709, 233.233317: ns per cell total, react, vel_step, dens_step
1175.131141, 5.687869, 936.906079, 232.537192: ns per cell total, react, vel_step, dens_step
1170.158767, 5.315583, 931.724716, 233.118467: ns per cell total, react, vel_step, dens_step
1174.692822, 5.309698, 935.865792, 233.517331: ns per cell total, react, vel_step, dens_step
1180.162615, 5.290263, 942.624189, 232.248162: ns per cell total, react, vel_step, dens_step
1168.862636, 5.285885, 932.187488, 231.389263: ns per cell total, react, vel_step, dens_step
1167.426870, 5.267966, 930.159784, 231.999120: ns per cell total, react, vel_step, dens_step
1167.272460, 5.263359, 929.997507, 232.011594: ns per cell total, react, vel_step, dens_step
1167.442939, 5.398476, 930.716102, 231.328362: ns per cell total, react, vel_step, dens_step
1172.730141, 5.228227, 935.552395, 231.949519: ns per cell total, react, vel_step, dens_step
1186.561943, 5.217640, 948.560090, 232.784213: ns per cell total, react, vel_step, dens_step
1174.910775, 5.212643, 936.921568, 232.776565: ns per cell total, react, vel_step, dens_step
1175.599605, 5.267584, 937.087287, 233.244734: ns per cell total, react, vel_step, dens_step
1177.916424, 5.178959, 940.127183, 232.610282: ns per cell total, react, vel_step, dens_step
1173.702669, 5.236561, 934.350698, 234.115410: ns per cell total, react, vel_step, dens_step
1171.233090, 5.167983, 933.214442, 232.850665: ns per cell total, react, vel_step, dens_step
1177.172138, 5.142530, 939.650259, 232.379350: ns per cell total, react, vel_step, dens_step
1174.312573, 5.133888, 936.189450, 232.989234: ns per cell total, react, vel_step, dens_step
1172.419920, 5.155986, 935.191410, 232.072524: ns per cell total, react, vel_step, dens_step
1169.857433, 5.139830, 932.545889, 232.171715: ns per cell total, react, vel_step, dens_step
1172.676649, 5.201323, 934.883898, 232.591428: ns per cell total, react, vel_step, dens_step
1176.763699, 5.180294, 935.359210, 236.224195: ns per cell total, react, vel_step, dens_step
1170.349949, 5.100557, 932.990987, 232.258405: ns per cell total, react, vel_step, dens_step
1175.763999, 5.061172, 937.499818, 233.203010: ns per cell total, react, vel_step, dens_step
1174.633809, 5.092967, 936.561946, 232.978896: ns per cell total, react, vel_step, dens_step
1178.332350, 5.045912, 938.592339, 234.694099: ns per cell total, react, vel_step, dens_step
1171.429824, 5.184262, 933.334100, 232.911462: ns per cell total, react, vel_step, dens_step
1176.157162, 5.175527, 935.665329, 235.316306: ns per cell total, react, vel_step, dens_step
1175.127631, 5.074656, 937.261399, 232.791576: ns per cell total, react, vel_step, dens_step
1173.745832, 5.078632, 935.971107, 232.696094: ns per cell total, react, vel_step, dens_step
1174.245634, 5.003607, 937.223252, 232.018775: ns per cell total, react, vel_step, dens_step
1171.085338, 4.996350, 933.633782, 232.455205: ns per cell total, react, vel_step, dens_step
1176.485817, 4.985726, 937.551307, 233.948784: ns per cell total, react, vel_step, dens_step
1173.486967, 5.091364, 934.500130, 233.895473: ns per cell total, react, vel_step, dens_step
1172.701034, 5.023863, 935.078085, 232.599086: ns per cell total, react, vel_step, dens_step
1172.757053, 5.031922, 934.927757, 232.797374: ns per cell total, react, vel_step, dens_step
1172.735682, 4.961254, 935.121917, 232.652511: ns per cell total, react, vel_step, dens_step
1176.263905, 4.988634, 938.691587, 232.583684: ns per cell total, react, vel_step, dens_step
1174.099217, 4.942582, 936.252049, 232.904587: ns per cell total, react, vel_step, dens_step
1171.704310, 4.960720, 934.212759, 232.530831: ns per cell total, react, vel_step, dens_step
1174.306593, 4.924242, 933.810251, 235.572100: ns per cell total, react, vel_step, dens_step
1173.220024, 4.958356, 934.961803, 233.299865: ns per cell total, react, vel_step, dens_step
1174.853850, 4.917653, 936.686362, 233.249835: ns per cell total, react, vel_step, dens_step
1168.828209, 4.909327, 931.748282, 232.170600: ns per cell total, react, vel_step, dens_step
1173.974466, 4.933903, 934.825199, 234.215364: ns per cell total, react, vel_step, dens_step
1171.507529, 4.890367, 933.992765, 232.624396: ns per cell total, react, vel_step, dens_step
1187.852866, 4.895432, 945.823749, 237.133685: ns per cell total, react, vel_step, dens_step
1166.708123, 4.877188, 930.036427, 231.794509: ns per cell total, react, vel_step, dens_step
1166.047246, 4.880096, 928.985764, 232.181386: ns per cell total, react, vel_step, dens_step
1169.473970, 4.867174, 933.142211, 231.464585: ns per cell total, react, vel_step, dens_step
1168.135936, 4.862349, 930.081650, 233.191937: ns per cell total, react, vel_step, dens_step
1166.739242, 4.855130, 930.101181, 231.782930: ns per cell total, react, vel_step, dens_step
1166.080319, 4.852841, 929.222217, 232.005261: ns per cell total, react, vel_step, dens_step
1168.648270, 4.858467, 931.312568, 232.477235: ns per cell total, react, vel_step, dens_step
1167.985971, 4.845535, 931.596753, 231.543682: ns per cell total, react, vel_step, dens_step
1168.059376, 4.845078, 931.733872, 231.480426: ns per cell total, react, vel_step, dens_step
1164.996821, 4.827387, 928.750196, 231.419238: ns per cell total, react, vel_step, dens_step
1166.399571, 4.821054, 928.996798, 232.581719: ns per cell total, react, vel_step, dens_step
1166.419292, 4.902546, 929.881245, 231.635502: ns per cell total, react, vel_step, dens_step
1170.524510, 4.812892, 932.691800, 233.019818: ns per cell total, react, vel_step, dens_step
1165.492826, 4.827702, 928.737837, 231.927288: ns per cell total, react, vel_step, dens_step
1166.342265, 4.807065, 929.861246, 231.673954: ns per cell total, react, vel_step, dens_step
1165.788781, 4.798996, 929.658667, 231.331119: ns per cell total, react, vel_step, dens_step
1167.939097, 4.796650, 931.632392, 231.510056: ns per cell total, react, vel_step, dens_step
1165.232216, 4.796392, 928.676916, 231.758907: ns per cell total, react, vel_step, dens_step
1167.722290, 4.794286, 931.587826, 231.340179: ns per cell total, react, vel_step, dens_step
1166.763026, 4.793055, 929.887558, 232.082414: ns per cell total, react, vel_step, dens_step
1166.572100, 4.794914, 929.973627, 231.803558: ns per cell total, react, vel_step, dens_step
1165.967223, 4.776595, 929.657407, 231.533221: ns per cell total, react, vel_step, dens_step
1165.768143, 4.771683, 929.386221, 231.610239: ns per cell total, react, vel_step, dens_step
1166.235749, 4.775908, 930.131212, 231.328629: ns per cell total, react, vel_step, dens_step
1167.090528, 4.765942, 928.761154, 233.563432: ns per cell total, react, vel_step, dens_step
1165.706469, 4.767496, 929.435020, 231.503953: ns per cell total, react, vel_step, dens_step
1166.568695, 4.767696, 930.110432, 231.690567: ns per cell total, react, vel_step, dens_step
1166.655232, 4.755347, 930.424639, 231.475246: ns per cell total, react, vel_step, dens_step
1165.176111, 4.756023, 929.058214, 231.361874: ns per cell total, react, vel_step, dens_step
1167.664936, 4.763721, 931.480614, 231.420602: ns per cell total, react, vel_step, dens_step
1166.703393, 4.750168, 930.406471, 231.546754: ns per cell total, react, vel_step, dens_step
1166.826808, 4.747059, 929.862963, 232.216786: ns per cell total, react, vel_step, dens_step
